id,created_at,text
1049688472364208128,2018-10-09 15:50:08,"As he joins the bench of our nation\s highest court, Justice Kavanaugh\s mission is clear. ""My focus now is to be t\xe2\x80\xa6"
1049648926868017153,2018-10-09 13:13:00,"fema: The window to prepare for Hurricane #Michael is closing quickly. Please share and check on friends, family members and neighbors.\xe2\x80\xa6"
1049645909578055681,2018-10-09 13:01:00,"FLGovScott: This morning, I\xe2\x80\x99m at the State Emergency Operations Center to give an update on Hurricane Michael as it approaches FL. The\xe2\x80\xa6"
1049612232458465280,2018-10-09 10:47:11,"Scavino45: Congratulations to our 114th Supreme Court Justice, Brett M. Kavanaugh! #SCOTUS\xf0\x9f\x8f\x9b\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n\n\xf0\x9f\x94\x9f\xf0\x9f\x93\xb8"
1049459494659547136,2018-10-09 00:40:16,"Tonight, America witnessed a ""moment which reminds us that freedom is a tradition passed down from generation to ge\xe2\x80\xa6"
1049451183402901504,2018-10-09 00:07:14,"Our 114th Supreme Court Justice, Brett M. Kavanaugh."
1049444580129722373,2018-10-08 23:41:00,"\xe2\x80\x9cThere is no one in America more qualified for this position, and no one more deserving,\xe2\x80\x9d President Trump said when\xe2\x80\xa6"
1049434935956725760,2018-10-08 23:02:40,President Trump Participates in the Swearing-In Ceremony of the Honorable Brett M. Kavanaugh
1049426969354543105,2018-10-08 22:31:01,Watch LIVE at 7:00 PM ET as President Trump participates in the swearing-in ceremony of the Honorable Brett M. Kava\xe2\x80\xa6
1049422938888425472,2018-10-08 22:15:00,"FEMA_Brock: Everyone in the path of Hurricane #Michael should prepare NOW for storm surge, high winds and flooding. Follow  fema  Ready\xe2\x80\xa6"
1049421681763250176,2018-10-08 22:10:00,"b""  fema: \xe2\x9a\xa0\xef\xb8\x8fIf youre told to evacuate for Hurricane #Michael, dont delay. Leave as soon as possible. \n\nListen to  FLSE and local offici\xe2\x80\xa6"""
1049420423413293057,2018-10-08 22:05:00,FLGovScott: I have activated another 750 FL National Guard troops on top of the 500 that I activated last night. They are well-equipped\xe2\x80\xa6
